code,company,Classification,affiliate,closing price,rate,fluctuation rate,market price,high price,low price,trading volume,transaction amount,market cap,Number of listed shares
318010,팜스빌,KOSDAQ,중견기업부,16650,-200,-1.19,17000,17250,16200,26700,442094700,1.32023E+11,7929338
36580,팜스코,KOSPI,,3815,45,1.19,3775,3880,3760,126010,482252000,1.40117E+11,36727943
27710,팜스토리,KOSDAQ,우량기업부,2005,5,0.25,2005,2015,1995,737444,1480661775,2.2339E+11,111416600
4720,팜젠사이언스,KOSPI,,7300,-100,-1.35,7340,7440,7260,96549,707660900,1.15565E+11,15830890
225590,패션플랫폼,KOSDAQ,중견기업부,1665,-10,-0.6,1675,1685,1645,70785,118367520,44350127145,26636713
54300,팬스타엔터프라이즈,KOSDAQ,벤처기업부,706,9,1.29,698,714,697,235172,166216257,41748621650,59134025
68050,팬엔터테인먼트,KOSDAQ,중견기업부,3240,-40,-1.22,3280,3295,3230,29098,94878865,89728806240,27694076
28670,팬오션,KOSPI,,4745,35,0.74,4720,4840,4705,1779980,8488228000,2.53653E+12,534569512
222110,팬젠,KOSDAQ,기술성장기업부,7600,110,1.47,7630,7690,7410,8896,67242870,81149988000,10677630
10820,퍼스텍,KOSPI,,3095,-35,-1.12,3125,3140,3070,436297,1354996005,1.4875E+11,48061460
16800,퍼시스,KOSPI,,28050,-250,-0.88,28000,28400,28000,803,22538450,3.22575E+11,11500000
263750,펄어비스,KOSDAQ,우량기업부,43650,-2450,-5.31,44850,48200,43550,974998,43987142950,2.8039E+12,64235855
251970,펌텍코리아,KOSDAQ,우량기업부,15650,-300,-1.88,15800,15900,15650,2303,36269500,1.9406E+11,12400000
1020,페이퍼코리아,KOSPI,,1205,5,0.42,1210,1210,1190,63109,75763260,57318006050,47566810
327610,펨토바이오메드,KONEX,일반기업부,12500,0,0,12500,12500,12500,10,125000,1.05016E+11,8401272
87010,펩트론,KOSDAQ,기술성장기업부,7980,130,1.66,7870,8240,7830,43022,345713850,1.64602E+11,20626853
90080,평화산업,KOSPI,,1315,-5,-0.38,1320,1340,1305,222028,294232140,72196470585,54902259
